replacement,hierarchy,trace,ipc
hawkeye,l3exclusive,bc-3.trace.gz,0.133936
hawkeye,l3exclusive,bc-5.trace.gz,0.175322
hawkeye,l3exclusive,bfs-10.trace.gz,0.259084
hawkeye,l3exclusive,bfs-14.trace.gz,0.273111
hawkeye,l3exclusive,bfs-3.trace.gz,0.268909
hawkeye,l3exclusive,bfs-8.trace.gz,0.270836
hawkeye,l3exclusive,cc-13.trace.gz,0.150893
hawkeye,l3exclusive,cc-14.trace.gz,0.176774
hawkeye,l3exclusive,cc-5.trace.gz,0.197525
hawkeye,l3exclusive,cc-6.trace.gz,0.143275
hawkeye,l3exclusive,pr-10.trace.gz,0.0384646
hawkeye,l3exclusive,pr-14.trace.gz,0.0390953
hawkeye,l3exclusive,pr-3.trace.gz,0.0382109
hawkeye,l3exclusive,pr-5.trace.gz,0.038574
hawkeye,l3exclusive,sssp-10.trace.gz,0.269648
hawkeye,l3exclusive,sssp-14.trace.gz,0.269471
hawkeye,l3exclusive,sssp-3.trace.gz,0.267375
hawkeye,l3exclusive,sssp-5.trace.gz,0.268986
hawkeye,l3inclusive,bc-0.trace.gz,0.148018
hawkeye,l3inclusive,bc-12.trace.gz,0.139232
hawkeye,l3inclusive,bc-3.trace.gz,0.166429
hawkeye,l3inclusive,bc-5.trace.gz,0.216126
hawkeye,l3inclusive,bfs-10.trace.gz,0.271359
hawkeye,l3inclusive,bfs-14.trace.gz,0.297158
hawkeye,l3inclusive,bfs-3.trace.gz,0.285361
hawkeye,l3inclusive,bfs-8.trace.gz,0.298437
hawkeye,l3inclusive,cc-13.trace.gz,0.204398
hawkeye,l3inclusive,cc-14.trace.gz,0.235599
hawkeye,l3inclusive,cc-5.trace.gz,0.26014
hawkeye,l3inclusive,cc-6.trace.gz,0.193665
hawkeye,l3inclusive,pr-10.trace.gz,0.061705
hawkeye,l3inclusive,pr-14.trace.gz,0.0662452
hawkeye,l3inclusive,pr-3.trace.gz,0.0601208
hawkeye,l3inclusive,pr-5.trace.gz,0.062368
hawkeye,l3inclusive,sssp-10.trace.gz,0.336083
hawkeye,l3inclusive,sssp-14.trace.gz,0.3357
hawkeye,l3inclusive,sssp-3.trace.gz,0.33364
hawkeye,l3inclusive,sssp-5.trace.gz,0.33491
hawkeye,cache,bc-0.trace.gz,0.141872
hawkeye,cache,bc-12.trace.gz,0.134057
hawkeye,cache,bc-3.trace.gz,0.161846
hawkeye,cache,bc-5.trace.gz,0.203392
hawkeye,cache,bfs-10.trace.gz,0.267938
hawkeye,cache,bfs-14.trace.gz,0.286511
hawkeye,cache,bfs-3.trace.gz,0.275647
hawkeye,cache,bfs-8.trace.gz,0.288444
hawkeye,cache,cc-13.trace.gz,0.203372
hawkeye,cache,cc-14.trace.gz,0.234334
hawkeye,cache,cc-5.trace.gz,0.2585
hawkeye,cache,cc-6.trace.gz,0.192751
